date,Day,aircraft,helicopter,tank,APC,field artillery,MRL,drone,naval ship,anti-aircraft warfare,special equipment,vehicles and fuel tanks,cruise missiles,submarines
14-12-2025,1390,432,347,11410,23721,35041,1567,90124,28,1259,4026,69798,4073,1
13-12-2025,1389,432,347,11409,23714,35032,1567,89684,28,1258,4026,69717,4060,1
12-12-2025,1388,432,347,11406,23705,35008,1566,89401,28,1256,4024,69614,4060,1
11-12-2025,1387,431,347,11404,23699,34992,1564,89148,28,1253,4022,69507,4058,1
10-12-2025,1386,431,347,11404,23692,34969,1563,89066,28,1253,4019,69350,4058,1
09-12-2025,1385,431,347,11403,23691,34944,1563,88889,28,1253,4019,69243,4058,1
08-12-2025,1384,431,347,11403,23689,34917,1562,88457,28,1253,4018,69182,4058,1
07-12-2025,1383,431,347,11401,23688,34907,1562,87927,28,1253,4015,69135,4054,1
06-12-2025,1382,431,347,11398,23688,34874,1560,87387,28,1253,4015,69037,4024,1
05-12-2025,1381,431,347,11396,23686,34843,1558,86900,28,1253,4014,68907,4024,1
04-12-2025,1380,430,347,11396,23685,34809,1556,86476,28,1253,4012,68813,4024,1
03-12-2025,1379,430,347,11393,23682,34780,1555,86231,28,1253,4012,68688,4024,1
02-12-2025,1378,430,347,11387,23679,34768,1552,86141,28,1253,4011,68641,4024,1
01-12-2025,1377,430,347,11387,23678,34754,1552,86090,28,1253,4010,68583,4024,1
30-11-2025,1376,430,347,11386,23672,34740,1552,85851,28,1253,4010,68512,4024,1
29-11-2025,1375,430,347,11381,23658,34733,1550,85343,28,1253,4010,68463,3995,1
28-11-2025,1374,430,347,11380,23643,34730,1550,85237,28,1253,4008,68399,3995,1
27-11-2025,1373,430,347,11373,23628,34709,1550,85174,28,1253,4008,68351,3995,1
26-11-2025,1372,428,347,11372,23625,34688,1549,84960,28,1252,4007,68242,3995,1
25-11-2025,1371,428,347,11368,23624,34644,1549,84217,28,1250,4006,68118,3981,1
24-11-2025,1370,428,347,11366,23620,34626,1549,83769,28,1248,4003,68006,3981,1
23-11-2025,1369,428,347,11363,23615,34585,1549,83338,28,1248,4003,67922,3981,1
22-11-2025,1368,428,347,11361,23607,34559,1547,82842,28,1248,4002,67842,3981,1
21-11-2025,1367,428,347,11357,23600,34550,1546,82620,28,1247,4002,67768,3981,1
20-11-2025,1366,428,347,11357,23597,34530,1546,82470,28,1247,4002,67703,3981,1
19-11-2025,1365,428,347,11356,23595,34511,1546,82086,28,1247,4001,67635,3940,1
18-11-2025,1364,428,347,11355,23594,34499,1545,81793,28,1247,4000,67579,3940,1
17-11-2025,1363,428,347,11355,23594,34486,1544,81499,28,1246,4000,67536,3940,1
